100
aebba bbaea
bcecc ecbcc
cdbae dcbea
dbcda abdcd
ebddc decbd
cbbde dcbeb
baacd adbca
bbdea babde
eeedd edede
daaba daaab
dbabb dabbb
addbd bddad
bbbeb bbbbe
ddece decde
acaec caeca
dedac ddcea
badca dcbaa
abdab bdaba
cbbce eccbb
ceded ceedd
adadc cdaad
ebbde bedeb
edaec eeadc
cecdb dbecc
eccba beacc
baddc dbacd
ccbad ccbad
baaab baaab
aaaca aaaac
bbaad abdba
ceceb bceec
dcacb dcabc
ceaeb ecbae
dcaaa acada
eddac eacdd
aeebc beace
ceecd deecc
cebba beacb
becee ebcee
aadac aaadc
dbcea ceadb
cdebc cbdce
cabde bcdae
dddad adddd
baeea eeaba
cebed ebdce
accbb abbcc
edddb ddebd
adedd daedd
aedce eedca
ddadb bddad
ecade eeadc
eaaba aaeba
abacb baabc
cdabe cdbae
beede eedbe
bdedc ddecb
eaded ddaee
eaacc aeacc
ccaed ceadc
dcddc dcddc
baced dcbae
deded eeddd
eabca ebaac
ddddb dddbd
aaeac eaaac
eccbe ebcce
dabcb bcabd
eaada aadea
edaed aeedd
ccadd cdacd
eaedd aedde
bdeab bdbea
cadca aadcc
adacc daacc
bdebc dbcbe
ccece cecec
cedac decac
eaeab baeae
eceec eecec
acddc accdd
eacbd cdabe
ebbcb bbceb
aabde dabea
cbeee ecebe
dabed eadbd
aecbe acbee
eecac aeecc
ebebc becbe
abbba bbaab
aeaca acaea
bddec ecdbd
caebe eaecb
cbdca cdbca
edaed aeedd
aedca eacda
ecdce ccdee
ccaca accca
beadc ecbad
bdece deebc
