100
dbced bcdde
aeace ceeaa
aedbb adbbe
dcbac abdcc
edece ecdee
daaab badaa
bcdad cabdd
cdcca ccdac
dbcda dbdca
ccedc dcecc
dcacd dacdc
bcece ebcec
adbea aeadb
dbddb bddbd
deccd eccdd
adada ddaaa
daadd ddaad
cccdd cdccd
decab ebadc
dbbea abdeb
ddacc cddca
ebbcc cebbc
deaee eeade
bdcba adcbb
aeacb abcea
eeeda aedee
debdc bddec
cdbdc dcbdc
cbbcc ccbcb
adbca baadc
acccd daccc
cecaa aacec
eddde dddee
bbbac bcabb
ddbdc cdbdd
dbead bdade
ccedc eccdc
bedcc ccbed
bdbee debeb
aeecc acece
ebaad aadbe
ecdda ecdad
dccba bcadc
aaaca caaaa
baaac acaab
dbaaa adbaa
bdabe dabbe
daace acdae
eebdc ecdbe
beeab eaebb
eddba eddba
eabcd cbeda
eddaa adead
bddae ebadd
acbcb bccba
deeed deeed
daead daaed
eaada aaeda
daeaa aeaad
adaba aaadb
ebacc ccbea
beebc ebceb
abedb ebabd
caedc ceacd
dbeae eadbe
aabbc baabc
aecde edace
dceea aceed
dcbbd cddbb
cebed ebdec
daccc ccdca
edeac cdeea
cdaea aaecd
bbdba abdbb
bebcb cebbb
eccaa cceaa
cbbab bbcba
bacac abcac
dbecd dcebd
cedbc dcbec
bdcbb cbdbb
eacad aacde
bbdec dbbec
ababb aabbb
cebdd decdb
bbece ebceb
eeadc cdeae
cbcbe bcecb
ebbca ecbab
babcc ccbab
cdddd ddcdd
ebbad aebdb
dacbe cdbae
eacdc caced
bdeed beedd
eabdc decab
abcba bacab
ebaaa abeaa
addbd bddad
beeab bbeea
