100
dcbdb cddbb
beddc ecddb
eeded eeedd
cdaed caded
aaeae aeaae
ebacb becba
accee eeacc
ccabd bacdc
bcadc cbcad
deabe beaed
cdbbc cdbbc
ddddc ddcdd
dddca adddc
beced beedc
caddc caddc
acdbe ecdba
ecaca eacca
beadc cadbe
cedbd ddebc
badad badad
baabe bbeaa
ccaeb acbec
aeccd eacdc
ceaae eceaa
bdace aecbd
badbe abedb
bbade eadbb
bbbae bbabe
ddcec cedcd
cbeba caebb
eceba bceea
aaace aaeac
deeae eeaed
aeccc caecc
ccede edcce
abeee ebaee
deced eecdd
eccde ccdee
bddae daedb
eaccc ccace
dbbeb bedbb
abdae bdaae
acbad aabcd
cbdac dcbac
aeaad eaaad
eccdc eccdc
bbcaa bcaab
acaad acaad
ecbaa abeac
bdeed ddebe
ccdac adccc
bccbd ccbdb
aeabc baace
cecbb cbcbe
eaede aeede
ceaae aeace
bcabe babec
ddbdd bdddd
bbbeb bbbbe
eeaba eeaab
addba ddbaa
acedd dacde
bcaaa bacaa
aaadb badaa
ceedd dedec
dcade edcad
baecc acceb
dbcdc dbccd
dedae deade
adebb eabbd
dbbce bcebd
decbd cddbe
babde ebbad
abdec acebd
beeda ebead
bdcee ebced
eeaab eeaab
caeeb eecab
aadbd dbdaa
ecdeb ebced
ebbec bbcee
acece eaecc
eceee eceee
bbbec ebbbc
dcaea aaedc
bccae ecbca
bddcc bdcdc
bebee bebee
eecda adece
aaccc aaccc
bdcad cdbad
daeaa aeaad
adaee aeead
dcecd ceddc
ccadb dccab
dacab dcaab
cecde cedce
cbedd bdcde
acaab aacba
bcecd cedbc
