100
bbdec dbcbe
cbbbc bccbb
beddd bdded
ccaad cadac
deebc edceb
ccbaa cacab
eedce edcee
bcaea ebcaa
eedbb beebd
bdcca ccbad
ccaac caacc
beebc ebcbe
bdded dbedd
acaba caaab
ebabc ecbba
edacb cbade
abbec bbeca
aaced caead
bceab bbaec
cdeba bdeca
adbcb dbabc
bbbdc bbcbd
dcade dadce
dddde ddedd
dccec ceccd
dbabe edbab
dbeed dbeed
cacbb bcabc
eaaba abeaa
ebbae eabeb
bdbdb ddbbb
eadca acdae
cdeac ccdea
eacce eaecc
beccc cccbe
ccabb cabcb
ebcca acecb
daebd edadb
beeac cbeea
bdeab babed
addbe debda
bedac abecd
adabe eabad
bcade cebad
caadb adbac
bedaa adbea
aeede edaee
dccbd dccdb
bddda bddda
bbbad dabbb
ebcca cbcea
adada aaadd
ebdbe bdeeb
debbc ebcdb
adbec bcdea
edcbb bcbde
deace cdeea
cbcad bcdac
decbd bedcd
acbdb dbcba
dccdc cdcdc
babda daabb
cecca accce
dacdd dcadd
ecbbd dbbec
ecbcd cdebc
baeee eebea
cbcbc cbbcc
addcc ddcac
bccdd ddcbc
daacb dacba
eddee eeded
bceec ceecb
deded eddde
cbcad cbcda
ddbcb bdbdc
beabb ebabb
adaaa aadaa
dbcde bddce
bdabc cbbda
dcaea adaec
baeca ceaab
abcbd adbbc
bddad bdadd
dbdaa dadba
aaadd aaadd
ccbcc cbccc
abeed beaed
accdc acdcc
adccc cdcca
beace becea
bcdad cabdd
bbadd ddbba
bbbbc bbbcb
abcbd dbbca
dccca cacdc
cccda daccc
daeee aeeed
abbbd babdb
adeaa aaaed
